,bonobo,chimp,human,gorilla,sumatran,bornean
1,153.857,148.63,139.053,164.256,144.977,146.607
2a,110.2,111.816,112.014,135.269,111.212,108.645
2b,98.763,98.178,112.014,106.557,98.412,101.06
3,100.22,98.205,94.532,156.804,91.637,91.88
4,84.97,80.229,78.166,95.595,74.254,76.434
5,101.424,98.752,94.023,,89.637,91.262
6,94.161,96.418,96.879,99.956,97.856,99.341
7,106.77,117.928,121.55,154.449,129.116,124.969
8,105.495,108.712,110.318,107.309,117.165,118.121
9,142.17,144.633,118.204,151.869,141.658,138.396
10,126.952,128.411,134.137,136.763,125.307,128.799
11,152.633,152.495,152.633,217.107,149.313,149.876
12,120.188,121.625,121.392,124.299,120.134,120.052
13,85.545,89.813,103.529,84.136,83.248,79.697
14,125.308,130.309,129.204,133.762,119.459,119.008
15,138.515,131.284,146.923,155.413,138.972,133.328
16,190.153,192.101,182.232,187.472,190.647,194.006
17,202.475,214.439,234.525,,223.932,207.131
18,90.831,107.47,95.391,128.784,97.721,94.456
19,263.889,239.665,338.258,108.001,247.884,251.062
20,305.848,313.922,192.236,304.279,320.481,322.549
21,171.289,171.221,177.93,149.58,177.155,184.478
22,124.146,126.932,254.282,125.455,120.889,101.15
X,100.358,104.353,98.931,88.022,94.968,95.136
Y,91.237,95.453,49.368,73.243,63.006,80.282
